planId,objectSet,surface,testCaseId,category,deviceProfile,expectedBehavior
P001,A,wood,T01,standard,pixel8,restoration_evaluated
P002,A,wood,T02,standard,pixel8,restoration_evaluated
P003,A,wood,T03,standard,pixel8,restoration_evaluated
P004,A,wood,T04,standard,pixel8,restoration_evaluated
P005,A,wood,T05,standard,pixel8,restoration_evaluated
P006,A,wood,T06,standard,pixel8,restoration_evaluated
P007,A,wood,T07,standard,pixel8,restoration_evaluated
P008,A,wood,T08,standard,pixel8,restoration_evaluated
P009,A,wood,T09,standard,pixel8,restoration_evaluated
P010,A,wood,T10,standard,pixel8,restoration_evaluated
P011,A,wood,T11,standard,pixel8,restoration_evaluated
P012,A,wood,T12,standard,pixel8,restoration_evaluated
P013,B,white,T01,standard,pixel8,restoration_evaluated
P014,B,white,T02,standard,pixel8,restoration_evaluated
P015,B,white,T03,standard,pixel8,restoration_evaluated
P016,B,white,T04,standard,pixel8,restoration_evaluated
P017,B,white,T05,standard,pixel8,restoration_evaluated
P018,B,white,T06,standard,pixel8,restoration_evaluated
P019,B,white,T07,standard,pixel8,restoration_evaluated
P020,B,white,T08,standard,pixel8,restoration_evaluated
P021,B,white,T09,standard,pixel8,restoration_evaluated
P022,B,white,T10,standard,pixel8,restoration_evaluated
P023,B,white,T11,standard,pixel8,restoration_evaluated
P024,B,white,T12,standard,pixel8,restoration_evaluated
P025,A,black,T01,standard,pixel8,restoration_evaluated
P026,A,black,T02,standard,pixel8,restoration_evaluated
P027,A,black,T03,standard,pixel8,restoration_evaluated
P028,A,black,T04,standard,pixel8,restoration_evaluated
P029,A,black,T05,standard,pixel8,restoration_evaluated
P030,A,black,T06,standard,pixel8,restoration_evaluated
P031,A,black,T07,standard,pixel8,restoration_evaluated
P032,A,black,T08,standard,pixel8,restoration_evaluated
P033,B,patterned,T01,standard,pixel8,restoration_evaluated
P034,B,patterned,T02,standard,pixel8,restoration_evaluated
P035,B,patterned,T03,standard,pixel8,restoration_evaluated
P036,B,patterned,T04,standard,pixel8,restoration_evaluated
P037,B,patterned,T05,standard,pixel8,restoration_evaluated
P038,B,patterned,T06,standard,pixel8,restoration_evaluated
P039,B,patterned,T07,standard,pixel8,restoration_evaluated
P040,B,patterned,T08,standard,pixel8,restoration_evaluated
P041,C,venue,T01,standard,pixel8,restoration_evaluated
P042,C,venue,T02,standard,pixel8,restoration_evaluated
P043,C,venue,T03,standard,pixel8,restoration_evaluated
P044,C,venue,T04,standard,pixel8,restoration_evaluated
P045,C,venue,T05,standard,pixel8,restoration_evaluated
P046,C,venue,T06,standard,pixel8,restoration_evaluated
P047,C,venue,T07,standard,pixel8,restoration_evaluated
P048,C,venue,T08,standard,pixel8,restoration_evaluated
P049,A,wood,T13,error,pixel8,success_withheld
P050,A,wood,T14,error,pixel8,success_withheld
P051,A,wood,T15,error,pixel8,success_withheld
P052,A,wood,T16,error,pixel8,success_withheld
P053,A,wood,T17,error,pixel8,typed_rejection
P054,A,wood,T18,error,pixel8,typed_rejection
P055,A,wood,T19,error,pixel8,typed_rejection
P056,A,wood,T20,error,pixel8,typed_rejection
P057,D,wood,T01,boundary,pixel8,restoration_evaluated
P058,D,black,T03,boundary,midrange_arcore,restoration_evaluated
P059,D,patterned,T07,boundary,pixel8,restoration_evaluated
P060,D,venue,T12,boundary,depth_unsupported,restoration_evaluated
